ID;Название задачи;Тип;Приоритет;Story;Описание / User Story;Статус
CL-1;Регистрация клиента по телефону и email;Фича;?? Высокий;3;Как клиент, я хочу зарегистрироваться через телефон и email, чтобы создать аккаунт;В очереди
CL-2;Авторизация через Google / Apple / VK;Фича;?? Высокий;5;Как клиент, я хочу входить через соцсети, чтобы не запоминать пароль;В очереди
CL-3;Поиск мастера по городу и услуге;Фича;?? Высокий;5;Как клиент, я хочу найти мастера по локации и типу услуги;В очереди
CL-4;Просмотр профиля мастера;Фича;?? Средний;2;Как клиент, я хочу посмотреть профиль мастера перед записью;В очереди
CL-5;Запись на услугу;Фича;?? Высокий;8;Как клиент, я хочу записаться на услугу на удобное время;В очереди
CL-6;Просмотр моих записей и отмена;Фича;?? Средний;3;Как клиент, я хочу управлять своими записями;В очереди
SP-1;Регистрация мастера (анкета + подтверждения);Фича;?? Высокий;8;Как мастер, я хочу пройти регистрацию с подтверждением телефона/email;В очереди
SP-2;Создание и редактирование услуг;Фича;?? Высокий;5;Как мастер, я хочу добавлять свои услуги и цены;В очереди
SP-3;Управление расписанием;Фича;?? Высокий;8;Как мастер, я хочу настраивать своё расписание;В очереди
SP-4;Получение уведомлений о новых записях;Улучшение;?? Низкий;3;Как мастер, я хочу получать push/email уведомления о новых клиентах;В очереди
AD-1;Просмотр списка мастеров и клиентов;Админ;?? Средний;3;Как админ, я хочу видеть всех пользователей системы;В очереди
AD-2;Блокировка пользователей;Админ;?? Средний;2;Как админ, я хочу иметь возможность блокировать пользователей;В очереди
TECH-1;Хранение данных в PostgreSQL;Техдолг;?? Высокий;2;Базовая настройка базы данных с учётом масштабируемости;В очереди
TECH-2;Настройка CI/CD для бэкенда;Техдолг;?? Средний;3;Автоматический деплой на staging;В очереди
TECH-3;Настройка отправки email и SMS;Техдолг;?? Высокий;5;Интеграция с сервисами (например, SendGrid + SMS.ru);В очереди
